Language,Translated Review,Summary,Follow-up Message,product_category
de,"Device arrived defective. The display indicated that the programs were running, but the drive shaft did not move.",The device arrived defective with the display showing programs running but the drive shaft not moving.,We are sorry to hear that the device arrived defective. Please contact our customer support for assistance with resolving this issue.,kitchen
de,"For sandwiches, Burger Patty's he is very ok, but I don't like steaks, hands or sausages. It looks good from the device itself and is space -saving.","The device is suitable for making burger patties but not preferred for steaks, hands, or sausages, with a compact and visually appealing design.",Thank you for sharing your feedback on the device. We appreciate your comments and will take them into consideration for future improvements.,kitchen
es,"It is very well achieved, but has unpainted parts. On the other hand, the fact that I cannot put it in the microwave (the label says), made to me back. It is pretty, if it weren't for that reason I would return it. Recommended, halfway.","The product is well-made but has unpainted parts, and the inability to microwave it was a drawback, otherwise recommended with some reservations.",Thank you for your detailed feedback on the product. We apologize for any inconvenience caused by the unpainted parts and the microwave restriction. Your comments will be shared with the relevant team for further review.,kitchen
de,"After less than 30 seconds, my dog ​​threw them around and the feed was scattered everywhere. Can't recommend it personally.","The dog toys were quickly scattered by the dog within 30 seconds, leading to a recommendation against them.","Thank you for sharing your experience with the dog toys. We apologize for any inconvenience caused and appreciate your feedback, which will be taken into consideration for product improvement.",pet_products
de,Is not so good because the feces sticks to the butt,The product is not effective as feces sticks to the butt.,Thank you for sharing your feedback. We apologize for any inconvenience caused and will look into ways to improve the product to address this issue.,pet_products
de,to have tasted. :),The product was tried and enjoyed. :),We are glad to hear that you enjoyed the product! Thank you for sharing your positive experience. :),pet_products
de,"Inside sole dissolved after about 4 weeks, Velcro also worn out and breaks. This shoes are not recommended, cheap quality.","The shoes had issues with the insole dissolving and the Velcro wearing out quickly, indicating poor quality and not recommended.","Thank you for sharing your experience with the shoes. We apologize for the quality issues you encountered and appreciate your feedback, which will be used to improve our products.",shoes
en,,"The sunglasses felt cheap and flimsy, prompting the decision to return them despite an okay appearance.","We appreciate your feedback on the sunglasses. We apologize for any disappointment caused by the quality, and we will take your comments into consideration for future product enhancements.",shoes
fr,Very appreciable appearance. Correctly size the air quality good to see over time. Received 48 hours before the delivery date. Satisfied.,"The product has a very appealing appearance, the size is correct, the air quality seems good, and the early delivery was appreciated, resulting in overall satisfaction.","Thank you for your positive feedback on the product. We are delighted to hear that you are satisfied with your purchase and the early delivery. Your satisfaction is our priority, and we look forward to serving you again in the future.",shoes
de,"The battery is just an original, so nothing to complain about. However, the packaging is absolutely customer -unfriendly. I understand that you want to protect the batteries from theft in the shop, but if I need about 15 minutes in the house after the delivery of Amazon to open the packaging, I feel that it is imposition.","The battery is original and satisfactory, but the packaging is excessively difficult to open, causing inconvenience and feeling like an imposition.",Thank you for sharing your feedback regarding the battery and its packaging. We apologize for any inconvenience caused by the difficult-to-open packaging and appreciate your understanding. Your comments will be taken into consideration for improving our packaging in the future.,home_improvement
de,"The insulating tape does not stick as tight as I expected, so only 4 stars","The insulating tape did not adhere as tightly as expected, resulting in a 4-star rating.",Thank you for your feedback on the insulating tape. We appreciate your rating and will take into consideration ways to improve the adhesion for future products.,home_improvement
